Index,Date,name,Scenario,Figure,Value,BusinessUnit,Factor
0,2019-02-01,Rate (Mt.EFH Km),Actual,Month,6512.41596,Geomining Innovations,1
2,2019-02-01,Rate (Mt.EFH Km),Actual,Year-To-Date,3448.19628,Mineral Extraction Technologies,1
3,2019-02-01,Utility (%),Actual,Month,81.6,Deep Earth Exploration Unit,1
4,2019-02-01,Utility (%),Plan,Year-To-Date,71.424,Deep Earth Exploration Unit,1
5,2019-02-01,Utility (%),Plan,Month,71.388,Deep Earth Exploration Unit,1
6,2019-02-01,Coal Dry Mining (Mt),Actual,Month,0.71772,Deep Earth Exploration Unit,1000000
7,2019-02-01,Coal Dry Mining (Mt),Plan,Year-To-Date,2.16648,Deep Earth Exploration Unit,1000000
8,2019-02-01,Coal Dry Mining (Mt),Plan,Month,1.02816,Deep Earth Exploration Unit,1000000
9,2019-02-01,Utility (%),Actual,Year-To-Date,86.4,Deep Earth Exploration Unit,1
10,2019-02-01,Rate (Mt.EFH Km),Actual,Month,3568.035,Mineral Extraction Technologies,1
11,2019-02-01,Coal Mined (Mt),Actual,Year-To-Date,13.51188,Deep Earth Exploration Unit,1000000
12,2019-02-01,Coal Mined (Mt),Actual,Month,5.79072,Deep Earth Exploration Unit,1000000
13,2019-02-01,Coal Mined (Mt),Plan,Year-To-Date,15.20316,Deep Earth Exploration Unit,1000000
15,2019-02-01,Coal Mined (Mt),Actual,Year-To-Date,2.04168,ACME,1000000
16,2019-02-01,Coal Mined (Mt),Actual,Month,1.00548,ACME,1000000
17,2019-02-01,Coal Mined (Mt),Plan,Year-To-Date,7.21512,ACME,1000000
18,2019-02-01,Coal Mined (Mt),Plan,Month,1.22568,ACME,1000000
19,2019-02-01,Yield (%),Actual,Year-To-Date,43.92,Deep Earth Exploration Unit,1
20,2019-02-01,Yield (%),Actual,Month,43.2,Deep Earth Exploration Unit,1
21,2019-02-01,Yield (%),Plan,Year-To-Date,51.0,Deep Earth Exploration Unit,1
22,2019-02-01,Yield (%),Plan,Month,51.0,Deep Earth Exploration Unit,1
23,2019-02-01,Coal Dry Mining (Mt),Actual,Year-To-Date,1.46088,Deep Earth Exploration Unit,1000000
24,2019-02-01,Drills per Hour (TOH),Actual,Month,27250.96248,Pacific Surface Mining Solutions,1
25,2019-02-01,Drills per Hour (TOH),Actual,Month,21135.04836,Geomining Innovations,1
26,2019-02-01,Drills per Hour (TOH),Actual,Month,211.87104,Deep Earth Exploration Unit,1
27,2019-02-01,Drills per Hour (TOH),Actual,Month,138.40116,ACME,1
28,2019-02-01,Drills per Hour (TOH),Actual,Month,4857.7428,Core Extraction Systems,1
